input_id,source_id,"coordinates(rows,col)"
masktif/rgbnir00-0_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-0_a.tif,"0-512,0-512"
masktif/rgbnir00-512_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-512_a.tif,"512-1024,0-512"
masktif/rgbnir00-1024_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-1024_a.tif,"1024-1536,0-512"
masktif/rgbnir00-1536_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-1536_a.tif,"1536-2048,0-512"
masktif/rgbnir00-2048_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-2048_a.tif,"2048-2560,0-512"
masktif/rgbnir00-2560_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-2560_a.tif,"2560-3072,0-512"
masktif/rgbnir00-3072_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-3072_a.tif,"3072-3584,0-512"
masktif/rgbnir00-3584_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-3584_a.tif,"3584-4096,0-512"
masktif/rgbnir00-4096_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-4096_a.tif,"4096-4608,0-512"
masktif/rgbnir00-4608_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-4608_a.tif,"4608-5120,0-512"
masktif/rgbnir00-5120_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-5120_a.tif,"5120-5632,0-512"
masktif/rgbnir00-5632_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir00-5632_a.tif,"5632-6144,0-512"
masktif/rgbnir0512-0_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir0512-0_a.tif,"0-512,512-1024"
masktif/rgbnir0512-512_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir0512-512_a.tif,"512-1024,512-1024"
masktif/rgbnir0512-1024_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir0512-1024_a.tif,"1024-1536,512-1024"
masktif/rgbnir0512-1536_a.tif,/home/jgonzalez/Test_2019/Test_network/data/train/masks/masktif/rgbnir0512-1536_a.tif,"1536-2048,512-1024"
